Taxa	Metaxa2/H1	Metaxa2/H2	Metaxa2/H3	Metaxa2/L2	Metaxa2/L3	Metaxa2/L4
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	40	3	27	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Unclassified Streptomycetaceae	3	1	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Unclassified Streptomycetales;	1	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae;Thermobifida	2	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae;Unclassified Nocardiopsaceae	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Microbispora	7	0	3	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea	2	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Sphaerisporangium	2	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Streptosporangium	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Thermopolyspora	8	0	4	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Unclassified Streptosporangiaceae	16	0	8	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus	2	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia	3	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura	23	4	8	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Thermobispora	35	1	9	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Thermomonospora	14	0	4	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Unclassified Thermomonosporaceae	10	3	3	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Unclassified Streptosporangiales;	11	1	3	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;;	141	34	169	11	2	21
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	0	1	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium	22	29	3	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	103	179	1	0	1	2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Coriobacterium	9	11	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Cryptobacterium	3	3	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Denitrobacterium	2	2	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella	2	3	1	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	0	3	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Gordonibacter	5	3	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olsenella	88	93	1	0	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia	20	22	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Unclassified Coriobacteriaceae	413	485	0	2	2	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Unclassified Coriobacteriales;	2	6	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Unclassified Coriobacteriia;;	0	1	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	6	0	4	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Unclassified Gaiellaceae	1	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;480-2;Rubrobacterineae	3	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	3	2	6	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter	40	2	42	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	5	0	8	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales;	31	4	33	0	0	1
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1;bacterium Ellin5025	1	0	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Thermophilales;Unclassified Thermophilales;	1	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Unclassified Thermoleophilia;;	7	2	4	0	0	0
Bacteria;Actinobacteria;Unclassified Actinobacteria;;;	10	2	14	0	0	0
Bacteria;Aquificae;Aquificae;Aquificales;Family Incertae Sedis;Thermosulfidibacter	1	0	0	0	0	0
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas	0	0	0	0	0	2
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Unclassified Armatimonadaceae	0	0	0	0	0	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	41	315	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified Bacteroidaceae	4	12	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Anaerophaga	1	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	2	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Candidatus Armantifilum	1	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter	1	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0	5	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	1	2	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Unclassified Porphyromonadaceae	2	3	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0	4	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	784	1628	3	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Unclassified Prevotellaceae	94	212	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter	2	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	8	5	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;RC9 gut group	5	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified Rikenellaceae	1	3	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unclassified Bacteroidales;	66	129	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Unclassified Bacteroidia;;	1	0	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus	0	0	0	0	0	1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter	1	0	0	0	18	211
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Unclassified Cytophagaceae	0	0	0	0	0	9
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Unclassified Flammeovirgaceae	1	1	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Order II Incertae Sedis;Rhodothermaceae;Salinibacter	1	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0	0	0	0	9	4
